scene,engine,geo,variant,split,K,metric,mean,std,min,max,n,mask,n_candidates,candidates,n_seeds
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,goal_reached,0.3,0.48304589153964794,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,max_episode_length,396.0,0.0,396.0,396.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_fm_steps,355.2,65.7060795428314,257.0,396.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_proj_steps,355.2,65.7060795428314,257.0,396.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_steps,355.2,65.7060795428314,257.0,396.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_success,0.3,0.48304589153964794,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_success_and_constraints,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_success_relaxed_and_constraints,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,n_violations,267.2,113.36842593950045,67.0,362.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,over_budget_frac,0.0002525252525252525,0.0007985549646889847,0.0,0.0025252525252525255,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,over_budget_steps,0.1,0.31622776601683794,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,phys_contact_frac,0.10060298182866276,0.2318441580789286,0.0,0.7432659932659933,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,phys_final_z,8.233028668794883,9.72420311399928,0.31817019162254845,29.244309989514598,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,phys_min_z,0.2901612247940629,0.10469612845767833,0.10577227940656428,0.40674637974471817,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,phys_safe,0.5,0.5270462766947299,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,proj_ms,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,projection_backstop_hits,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,projection_cb_skipped_steps,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,projection_cb_tripped,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,projection_cb_trips,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,steps_to_goal,260.0,2.6457513110645907,257.0,262.0,3,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,success_relaxed,0.5,0.5270462766947299,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,success_relaxed_and_constraints,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,success_strict,0.3,0.48304589153964794,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,success_strict_and_constraints,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,total_ms_p95,18.061060030013323,0.41435910151080957,17.518945038318634,18.781019374728203,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,total_violations,4644.115119895747,6402.874526720838,7.5859908115863925,17196.139702289987,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,track_err_mean,48.42853637157167,56.494734390771335,0.6240848257040358,127.97936705734533,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,avg_time,0.01763901312198003,0.00025085018010216056,0.017440661284696273,0.018296205062381547,10,proj_valid,1,35,1
