Candidate,Display,Eval_Tag,scene,engine,engine_label,K,mpc_batch,controller,threshold,backbone,data_proportion,alpha_init,alpha_end,train_K,horizon,diffusion_cls,model_name,generation,Seeds,N_Seeds,Missing_Seeds,CB_Sentinels,Latest_Snapshot,Snapshot_By_Seed,Full_Path
24,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,s_curve,,,20.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
25,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_anchorP_T0.5,s_curve,,,20.0,4.0,pid_stopgo_anchorP,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_anchorP_T0.5
26,s_curve|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,s_curve,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(no_GIF)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
27,s_curve|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,s_curve,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(with_gif_parts)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
28,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,s_curve,,,20.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260709_101109,6:20260709_101109,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
29,corridor|af|K1|bbsit,Eaf_K1_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),1.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_133049,6:20260823_133049,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5
30,corridor|af|K2|bbsit,Eaf_K2_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),2.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_165703,6:20260823_165703,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5
31,corridor|af|K5|bbsit,Eaf_K5_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),5.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_185936,6:20260823_185936,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5
32,corridor|fm|K10,Efm_K10_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),10.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_212538,6:20260819_212538,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5
33,corridor|fm|K1,Efm_K1_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),1.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_144356,6:20260819_144356,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5
34,corridor|fm|K20,Efm_K20_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),20.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_232044,6:20260819_232044,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5
35,corridor|fm|K2,Efm_K2_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),2.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_182530,6:20260819_182530,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5
36,corridor|fm|K5,Efm_K5_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),5.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_193352,6:20260819_193352,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5
37,corridor|mf|K10|bbunet|dp0.5,Emf_K10_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),10.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_171218,6:20260820_171218,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5
38,corridor|mf|K1|bbunet|dp0.5,Emf_K1_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),1.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_104902,6:20260820_104902,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5
39,corridor|mf|K20|bbunet|dp0.5,Emf_K20_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),20.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_220831,6:20260820_220831,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K20_mpc4_pid_stopgo_T0.5
40,corridor|mf|K2|bbunet|dp0.5,Emf_K2_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),2.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_104904,6:20260820_104904,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5
41,corridor|mf|K5|bbunet|dp0.5,Emf_K5_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),5.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_164530,6:20260820_164530,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5
42,pillars|af|K1|bbsit,Eaf_K1_mpc4_pid_stopgo_T0.5,pillars,af,alpha-Flow (Gen3v7),1.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260829_051944,6:20260829_051944,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5
43,pillars|af|K2|bbsit,Eaf_K2_mpc4_pid_stopgo_T0.5,pillars,af,alpha-Flow (Gen3v7),2.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260829_064323,6:20260829_064323,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5
44,pillars|af|K5|bbsit,Eaf_K5_mpc4_pid_stopgo_T0.5,pillars,af,alpha-Flow (Gen3v7),5.0,4.0,pid_stopgo,0.5,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260829_081433,6:20260829_081433,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5
45,pillars|fm|K10,Efm_K10_mpc4_pid_stopgo_T0.5,pillars,fm,Flow Matching (Gen11 FMv3ODE),10.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,6,20260818_130346,6:20260818_130346,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5
46,pillars|fm|K1,Efm_K1_mpc4_pid_stopgo_T0.5,pillars,fm,Flow Matching (Gen11 FMv3ODE),1.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260827_172555,6:20260827_172555,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5
47,pillars|fm|K20,Efm_K20_mpc4_pid_stopgo_T0.5,pillars,fm,Flow Matching (Gen11 FMv3ODE),20.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,3,20260827_234036,6:20260827_234036,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5
48,pillars|fm|K2,Efm_K2_mpc4_pid_stopgo_T0.5,pillars,fm,Flow Matching (Gen11 FMv3ODE),2.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260827_203140,6:20260827_203140,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5
49,pillars|fm|K5,Efm_K5_mpc4_pid_stopgo_T0.5,pillars,fm,Flow Matching (Gen11 FMv3ODE),5.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260827_234031,6:20260827_234031,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5
50,pillars|mf|K10|bbunet|dp0.5,Emf_K10_mpc4_pid_stopgo_T0.5,pillars,mf,MeanFlow (Gen3v6),10.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260816_205837,6:20260816_205837,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5
51,pillars|mf|K1|bbunet|dp0.5,Emf_K1_mpc4_pid_stopgo_T0.5,pillars,mf,MeanFlow (Gen3v6),1.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260828_134908,6:20260828_134908,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5
52,pillars|mf|K2|bbunet|dp0.5,Emf_K2_mpc4_pid_stopgo_T0.5,pillars,mf,MeanFlow (Gen3v6),2.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260828_152951,6:20260828_152951,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5
53,pillars|mf|K5|bbunet|dp0.5,Emf_K5_mpc4_pid_stopgo_T0.5,pillars,mf,MeanFlow (Gen3v6),5.0,4.0,pid_stopgo,0.5,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260828_171343,6:20260828_171343,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5
54,s_curve|diffusion|K20,Ediffusion_K20_mpc4_pid_stopgo_T0.5,s_curve,diffusion,DDPM / DPCC baseline (GaussianDiffusion),20.0,4.0,pid_stopgo,0.5,,,,,20,8,,H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20,Gen15,6,1,,0,20260826_093227,6:20260826_093227,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_diffusion/H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20/Ediffusion_K20_mpc4_pid_stopgo_T0.5
55,s_curve|fm|K10,Efm_K10_mpc4_pid_stopgo_T0.5,s_curve,fm,Flow Matching (Gen11 FMv3ODE),10.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260826_194532,6:20260826_194532,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5
56,s_curve|fm|K1,Efm_K1_mpc4_pid_stopgo_T0.5,s_curve,fm,Flow Matching (Gen11 FMv3ODE),1.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260826_144000,6:20260826_144000,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5
57,s_curve|fm|K20,Efm_K20_mpc4_pid_stopgo_T0.5,s_curve,fm,Flow Matching (Gen11 FMv3ODE),20.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260825_203152,6:20260825_203152,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5
58,s_curve|fm|K2,Efm_K2_mpc4_pid_stopgo_T0.5,s_curve,fm,Flow Matching (Gen11 FMv3ODE),2.0,4.0,pid_stopgo,0.5,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260826_152812,6:20260826_152812,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5
